Class,Age,Gender,Exams Preparing For,Department,Student Self-Rating,Class Attendance,Favorite Subject,Challenging Subject,Extra Help from Teachers,Library Access,Library Usage Frequency,Library Resources,Study Methods,Exam Stress,Causes of Stress,Sleep Hours During Exam Prep,Quiet Study Place at Home,Internet Access,Extracurricular Activities,Types of Extracurricular Activities,Study Hours,Preferred Study Method,Mock Exam Frequency,Mock Exam Rating,Study Tools,Online Study Usage,Favorite Online Study Platforms,Biggest Exam Challenge,Help from Teachers,Parents Involvement,Type of Parental Support,Teaching Methods Satisfaction,Suggested Improvements,Future Plan,Plans After Secondary School,Desired University Department,Future Plan Uncertainty,Motivation to Study,Need for Career Guidance,Career Goals Clarity,Comments
SS 3,16 - 19,Male,"WAEC, NECO, JAMB, School Exams",Science,Average,Often,"Biology, Geography, Chemistry",Mathematics,Often,Yes,Often,Yes,"Textbooks, Online Resources, Past Questions",Yes,Family expectations,Less than 4 hours,Sometimes,No,Yes,Sports,2-4 hours,Visuals,Several times a week,1,Video Lessons,No,Not Applicable,Lack of resources,Never,1,No support,Satisfied,More interactive classes,Unsure,Starting a Job,Science,Yes,2,No,No,Nil
SS 3,16 - 19,Female,"WAEC, NECO, JAMB, School Exams",Science,Straight A Student,Rarely,"Mathematics, Further Mathematics, Physics, Chemistry",None,Sometimes,Yes,Often,Yes,"Textbooks, Online Resources, Past Questions",No,Not Applicable,4-6 hours,No,No,Yes,Volunteering,More than 4 hours,Visuals,Several times a week,4,Past Questions,No,Not Applicable,Lack of time,Sometimes,2,Emotional support,Satisfied,More interactive classes,Yes,University,Science,Not Applicable,5,Yes,Yes,More study materials should be adapted 
SS 2,13 - 16,Male,NECO,Science,Average,Often,"English Language, Mathematics, Biology, Physics, Geography, Further Mathematics",Chemistry,Sometimes,Yes,Often,Yes,"Textbooks, Past Questions",Yes,Lack of study materials,Less than 4 hours,Yes,No,No,Not Applicable,More than 4 hours,Visuals,Never,1,Video Lessons,Yes,YouTube,Procrastination,Sometimes,4,Other,Satisfied,Better teaching methods,Yes,University,Engineering,Not Applicable,5,Yes,Yes,Nil
SS 3,16 - 19,Male,"WAEC, NECO, JAMB, School Exams",Science,Below Average,Rarely,"English Language, Civic Education, Chemistry","Mathematics, Biology, Chemistry, Physics, Further Mathematics",Never,Yes,Often,Yes,"Textbooks, Past Questions",No,Not Applicable,4-6 hours,No,No,No,Not Applicable,Less than 1 hour,Visuals,Several times a week,1,Mobile Apps,Yes,Coursera,Difficulty understanding subjects,Rarely,3,Other,Very unsatisfied,Better teaching methods,No,University,Commercial,Yes,1,No,Yes,Nil
SS 3,16 - 19,Male,"WAEC, NECO, JAMB, School Exams",Commercial,Average,Sometimes,"English Language, Mathematics, Civic Education, Economics",Government,Sometimes,Yes,Often,Yes,"Textbooks, Past Questions",Yes,Pressure from teachers,More than 8 hours,No,Yes,No,Not Applicable,More than 4 hours,Lectures,Never,4,Study Guides,Yes,Udemy,Lack of time,Rarely,5,Emotional support,Neutral,More study materials,Unsure,Vocational Training,Not Applicable,Yes,2,Yes,No,Nil
SS 3,19 +,Male,WAEC,Science,Average,Rarely,"English Language, Mathematics","Chemistry, Physics, Geography, Further Mathematics",Sometimes,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions",No,Not Applicable,6-8 hours,Yes,No,No,Not Applicable,More than 4 hours,Lectures,Once a week,5,One-on-One Tutoring,No,Not Applicable,Difficulty understanding subjects,Sometimes,2,Other,Neutral,Better teaching methods,Yes,Vocational Training,Not Applicable,Not Applicable,5,No,No,The teachers should be more approachable in school
SS 1,16 - 19,Female,"WAEC, NECO, JAMB, School Exams",Commercial,Straight A Student,Often,"Mathematics, Further Mathematics",None,Never,Yes,Sometimes,No,Textbooks,No,Not Applicable,4-6 hours,Sometimes,No,Yes,Volunteering,More than 4 hours,Visuals,Never,1,One-on-One Tutoring,Yes,Udemy,Procrastination,Never,2,Other,Very satisfied,Better access to resources,Yes,University,Commercial,Not Applicable,5,No,Yes,More orientation on time management skills
SS 1,16 - 19,Male,School Exams,Art,Below Average,Sometimes,"English Language, Literature In English, Government",Mathematics,Sometimes,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",Yes,Difficulty in understanding subjects,More than 8 hours,Sometimes,No,Yes,Drama,Less than 1 hour,Lectures,Once a week,3,Video Lessons,No,Not Applicable,Lack of resources,Never,3,Other,Very unsatisfied,More interactive classes,No,Vocational Training,Not Applicable,Yes,2,No,No,Nil
SS 3,13 - 16,Male,"WAEC, JAMB, School Exams",Commercial,Below Average,Often,"English Language, Mathematics, Commerce",Commerce,Often,No,Rarely,Not Sure,Textbooks,Yes,Pressure from teachers,4-6 hours,Yes,Yes,Yes,Sports,More than 4 hours,Reading,Several times a week,1,Video Lessons,Yes,Google Classroom,Difficulty understanding subjects,Often,2,Emotional support,Very unsatisfied,Better access to resources,No,University,Commercial,Yes,1,No,No,Nil
SS 1,13 - 16,Female,"WAEC, NECO, JAMB, School Exams",Art,Straight A Student,Often,"English Language, Government",Mathematics,Never,Yes,Often,Yes,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,Less than 4 hours,Sometimes,No,No,Not Applicable,Less than 1 hour,Lectures,Once a month,4,Video Lessons,Yes,Khan Academy,Difficulty understanding subjects,Never,1,Study monitoring,Unsatisfied,Extra classes for difficult subjects,Yes,University,Art,Not Applicable,4,No,Yes,Nil
