STUDENT ID,SCHOOL NAME,Biology,Chemistry,Civic Education,Commerce,Economics,English,Further Mathematics,Government,Geography,Literature in English,Mathematics,Physics,Department
90673,"Barewa College, Zaria",A1,C4,ABS,ABS,ABS,F9,F9,ABS,C6,ABS,F9,F9,Arts
90674,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,F9,F9,B3,ABS,Science
90675,"Barewa College, Zaria",E8,E8,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,A1,C5,Commercial
90676,"Barewa College, Zaria",C5,B3,ABS,ABS,ABS,F9,F9,ABS,C4,ABS,F9,F9,Commercial
90677,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,B3,F9,F9,F9,ABS,Science
90678,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,B2,F9,A1,ABS,Science
90679,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,F9,B2,E8,ABS,Commercial
90680,"Barewa College, Zaria",F9,F9,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,A1,C4,Arts
90681,"Barewa College, Zaria",F9,F9,ABS,ABS,ABS,F9,F9,ABS,C6,ABS,F9,E8,Arts
90682,"Barewa College, Zaria",ABS,ABS,ABS,C6,F9,A1,ABS,E8,ABS,ABS,C5,ABS,Science
90683,"Barewa College, Zaria",ABS,ABS,ABS,F9,F9,A1,ABS,F9,ABS,ABS,F9,ABS,Commercial
90684,"Barewa College, Zaria",A1,F9,ABS,ABS,ABS,A1,F9,ABS,F9,ABS,F9,B2,Arts
90685,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,E8,A1,ABS,Arts
90686,"Barewa College, Zaria",F9,F9,ABS,ABS,ABS,F9,F9,ABS,C5,ABS,A1,C6,Arts
90687,"Barewa College, Zaria",A1,E8,ABS,ABS,ABS,C6,A1,ABS,A1,ABS,E8,E8,Commercial
90688,"Barewa College, Zaria",ABS,ABS,ABS,C4,A1,A1,ABS,F9,ABS,ABS,A1,ABS,Science
90689,"Barewa College, Zaria",A1,C5,ABS,ABS,ABS,F9,F9,ABS,A1,ABS,A1,F9,Science
90690,"Barewa College, Zaria",F9,B3,ABS,ABS,ABS,A1,A1,ABS,C4,ABS,F9,C6,Science
